Year,Season,NOC,Athlets,Medals,Gold,Silver,Bronze
1948,Winter,LIE,16,0.0,0.0,0.0,0.0
1948,Winter,NED,15,0.0,0.0,0.0,0.0
1948,Winter,NOR,75,0.0962962962962963,0.0975609756097561,0.0625,0.13043478260869565
1948,Winter,POL,44,0.0,0.0,0.0,0.0
1948,Winter,ROU,14,0.0,0.0,0.0,0.0
1948,Winter,SUI,99,0.2074074074074074,0.0975609756097561,0.10416666666666667,0.41304347826086957
1948,Winter,SWE,70,0.0962962962962963,0.17073170731707318,0.0625,0.06521739130434782
1948,Winter,TCH,74,0.1259259259259259,0.0,0.3541666666666667,0.0
1948,Winter,TUR,10,0.0,0.0,0.0,0.0
1948,Winter,USA,97,0.11851851851851852,0.14634146341463414,0.08333333333333333,0.13043478260869565
1948,Winter,YUG,30,0.0,0.0,0.0,0.0
1952,Summer,AHO,11,0.0,0.0,0.0,0.0
1952,Summer,ARG,174,0.006688963210702341,0.006535947712418301,0.006872852233676976,0.006666666666666667
1952,Summer,AUS,140,0.022296544035674472,0.02287581699346405,0.006872852233676976,0.03666666666666667
1952,Summer,AUT,238,0.0033444816053511705,0.0,0.003436426116838488,0.006666666666666667
1952,Summer,BAH,7,0.0,0.0,0.0,0.0
1952,Summer,BEL,184,0.008918617614269788,0.016339869281045753,0.010309278350515464,0.0
1952,Summer,BER,12,0.0,0.0,0.0,0.0
1952,Summer,BRA,119,0.0033444816053511705,0.0032679738562091504,0.0,0.006666666666666667
1952,Summer,BUL,179,0.0011148272017837235,0.0,0.0,0.0033333333333333335
1952,Summer,CAN,154,0.004459308807134894,0.0032679738562091504,0.010309278350515464,0.0
1952,Summer,CHI,82,0.004459308807134894,0.0,0.013745704467353952,0.0
1952,Summer,CHN,1,0.0,0.0,0.0,0.0
1952,Summer,CUB,57,0.0,0.0,0.0,0.0
1952,Summer,DEN,201,0.010033444816053512,0.00980392156862745,0.003436426116838488,0.016666666666666666
1952,Summer,EGY,196,0.0011148272017837235,0.0,0.0,0.0033333333333333335
1952,Summer,ESP,42,0.0011148272017837235,0.0,0.003436426116838488,0.0
1952,Summer,FIN,412,0.044593088071348944,0.026143790849673203,0.010309278350515464,0.09666666666666666
1952,Summer,FRA,408,0.044593088071348944,0.0457516339869281,0.030927835051546393,0.056666666666666664
1952,Summer,GBR,401,0.03455964325529543,0.00980392156862745,0.006872852233676976,0.08666666666666667
1952,Summer,GER,365,0.044593088071348944,0.0,0.048109965635738834,0.08666666666666667
1952,Summer,GHA,9,0.0,0.0,0.0,0.0
1952,Summer,GRE,54,0.0,0.0,0.0,0.0
1952,Summer,GUA,35,0.0,0.0,0.0,0.0
1952,Summer,GUY,1,0.0,0.0,0.0,0.0
1952,Summer,HKG,9,0.0,0.0,0.0,0.0
1952,Summer,HUN,345,0.11371237458193979,0.17320261437908496,0.058419243986254296,0.10666666666666667
1952,Summer,INA,3,0.0,0.0,0.0,0.0
1952,Summer,IND,94,0.016722408026755852,0.0457516339869281,0.0,0.0033333333333333335
1952,Summer,IRI,23,0.007803790412486065,0.0,0.010309278350515464,0.013333333333333334
1952,Summer,IRL,25,0.0011148272017837235,0.0,0.003436426116838488,0.0
1952,Summer,ISL,18,0.0,0.0,0.0,0.0
1952,Summer,ISR,31,0.0,0.0,0.0,0.0
1952,Summer,ITA,376,0.06020066889632107,0.05555555555555555,0.07560137457044673,0.05
1952,Summer,JAM,16,0.008918617614269788,0.016339869281045753,0.010309278350515464,0.0
1952,Summer,JPN,133,0.013377926421404682,0.0032679738562091504,0.030927835051546393,0.006666666666666667
1952,Summer,KOR,22,0.002229654403567447,0.0,0.0,0.006666666666666667
1952,Summer,LIB,9,0.002229654403567447,0.0,0.003436426116838488,0.0033333333333333335
1952,Summer,LIE,2,0.0,0.0,0.0,0.0
1952,Summer,LUX,101,0.0011148272017837235,0.0032679738562091504,0.0,0.0
1952,Summer,MEX,85,0.0011148272017837235,0.0,0.003436426116838488,0.0
1952,Summer,MON,10,0.0,0.0,0.0,0.0
1952,Summer,MYA,5,0.0,0.0,0.0,0.0
1952,Summer,NED,180,0.020066889632107024,0.0,0.061855670103092786,0.0
1952,Summer,NGR,15,0.0,0.0,0.0,0.0
1952,Summer,NOR,190,0.014492753623188406,0.016339869281045753,0.027491408934707903,0.0
1952,Summer,NZL,20,0.0033444816053511705,0.0032679738562091504,0.0,0.006666666666666667
1952,Summer,PAK,51,0.0,0.0,0.0,0.0
1952,Summer,PAN,1,0.0,0.0,0.0,0.0
1952,Summer,PHI,28,0.0,0.0,0.0,0.0
1952,Summer,POL,248,0.004459308807134894,0.0032679738562091504,0.006872852233676976,0.0033333333333333335
1952,Summer,POR,155,0.002229654403567447,0.0,0.0,0.006666666666666667
1952,Summer,PUR,23,0.0,0.0,0.0,0.0
1952,Summer,ROU,241,0.004459308807134894,0.0032679738562091504,0.003436426116838488,0.006666666666666667
1952,Summer,RSA,109,0.01560758082497213,0.006535947712418301,0.027491408934707903,0.013333333333333334
1952,Summer,SAA,93,0.0,0.0,0.0,0.0
1952,Summer,SGP,7,0.0,0.0,0.0,0.0
1952,Summer,SRI,7,0.0,0.0,0.0,0.0
1952,Summer,SUI,251,0.03678929765886288,0.006535947712418301,0.06529209621993128,0.04
1952,Summer,SWE,355,0.07803790412486064,0.07516339869281045,0.08247422680412371,0.07666666666666666
1952,Summer,TCH,218,0.027870680044593088,0.03594771241830065,0.013745704467353952,0.03333333333333333
1952,Summer,THA,15,0.0,0.0,0.0,0.0
1952,Summer,TTO,2,0.002229654403567447,0.0,0.0,0.006666666666666667
1952,Summer,TUR,58,0.0033444816053511705,0.006535947712418301,0.0,0.0033333333333333335
1952,Summer,URS,451,0.13043478260869565,0.11764705882352941,0.21305841924398625,0.06333333333333334
1952,Summer,URU,42,0.01560758082497213,0.0,0.0,0.04666666666666667
1952,Summer,USA,451,0.14938684503901895,0.27124183006535946,0.07903780068728522,0.09333333333333334
1952,Summer,VEN,63,0.0011148272017837235,0.0,0.0,0.0033333333333333335
1952,Summer,VNM,13,0.0,0.0,0.0,0.0
1952,Summer,YUG,194,0.026755852842809364,0.013071895424836602,0.06872852233676977,0.0
1952,Winter,ARG,21,0.0,0.0,0.0,0.0
1952,Winter,AUS,19,0.0,0.0,0.0,0.0
1952,Winter,AUT,74,0.058823529411764705,0.044444444444444446,0.09090909090909091,0.0425531914893617
1952,Winter,BEL,15,0.0,0.0,0.0,0.0
1952,Winter,BUL,19,0.0,0.0,0.0,0.0
1952,Winter,CAN,60,0.125,0.35555555555555557,0.0,0.02127659574468085
1952,Winter,CHI,7,0.0,0.0,0.0,0.0
1952,Winter,DEN,1,0.0,0.0,0.0,0.0
1952,Winter,ESP,11,0.0,0.0,0.0,0.0
1952,Winter,FIN,73,0.08823529411764706,0.13333333333333333,0.09090909090909091,0.0425531914893617
1952,Winter,FRA,45,0.007352941176470588,0.0,0.0,0.02127659574468085
1952,Winter,GBR,35,0.007352941176470588,0.022222222222222223,0.0,0.0
1952,Winter,GER,77,0.08823529411764706,0.17777777777777778,0.045454545454545456,0.0425531914893617
1952,Winter,GRE,6,0.0,0.0,0.0,0.0
1952,Winter,HUN,21,0.014705882352941176,0.0,0.0,0.0425531914893617
1952,Winter,ISL,24,0.0,0.0,0.0,0.0
1952,Winter,ITA,52,0.014705882352941176,0.022222222222222223,0.0,0.02127659574468085
1952,Winter,JPN,25,0.0,0.0,0.0,0.0
1952,Winter,LIB,3,0.0,0.0,0.0,0.0
1952,Winter,NED,23,0.022058823529411766,0.0,0.06818181818181818,0.0
1952,Winter,NOR,101,0.13970588235294118,0.15555555555555556,0.13636363636363635,0.1276595744680851
1952,Winter,NZL,6,0.0,0.0,0.0,0.0
1952,Winter,POL,42,0.0,0.0,0.0,0.0
1952,Winter,POR,1,0.0,0.0,0.0,0.0
1952,Winter,ROU,25,0.0,0.0,0.0,0.0
1952,Winter,SUI,76,0.04411764705882353,0.0,0.0,0.1276595744680851
1952,Winter,SWE,94,0.16911764705882354,0.0,0.0,0.48936170212765956
1952,Winter,TCH,27,0.0,0.0,0.0,0.0
1952,Winter,USA,96,0.22058823529411764,0.08888888888888889,0.5681818181818182,0.02127659574468085
1952,Winter,YUG,9,0.0,0.0,0.0,0.0
1956,Summer,AFG,12,0.0,0.0,0.0,0.0
1956,Summer,ARG,44,0.0022396416573348264,0.0,0.0034129692832764505,0.003355704697986577
1956,Summer,AUS,412,0.07502799552071669,0.09271523178807947,0.04436860068259386,0.087248322147651
1956,Summer,AUT,57,0.004479283314669653,0.0,0.0,0.013422818791946308
1956,Summer,BAH,5,0.0022396416573348264,0.0,0.0,0.006711409395973154
1956,Summer,BEL,82,0.0022396416573348264,0.0,0.006825938566552901,0.0
1956,Summer,BER,3,0.0,0.0,0.0,0.0
1956,Summer,BRA,63,0.0011198208286674132,0.0033112582781456954,0.0,0.0
1956,Summer,BUL,82,0.020156774916013438,0.0033112582781456954,0.010238907849829351,0.04697986577181208
1956,Summer,CAM,2,0.0,0.0,0.0,0.0
1956,Summer,CAN,150,0.02127659574468085,0.016556291390728478,0.030716723549488054,0.016778523489932886
1956,Summer,CHI,43,0.004479283314669653,0.0,0.006825938566552901,0.006711409395973154
1956,Summer,COL,47,0.0,0.0,0.0,0.0
1956,Summer,CUB,24,0.0,0.0,0.0,0.0
1956,Summer,DEN,51,0.006718924972004479,0.0033112582781456954,0.013651877133105802,0.003355704697986577
1956,Summer,EGY,6,0.0,0.0,0.0,0.0
1956,Summer,ESP,12,0.0,0.0,0.0,0.0
1956,Summer,ETH,30,0.0,0.0,0.0,0.0
1956,Summer,FIJ,5,0.0,0.0,0.0,0.0
1956,Summer,FIN,147,0.029115341545352745,0.009933774834437087,0.0034129692832764505,0.0738255033557047
1956,Summer,FRA,227,0.036954087346024636,0.023178807947019868,0.04436860068259386,0.0436241610738255
1956,Summer,GBR,283,0.051511758118701005,0.026490066225165563,0.05460750853242321,0.0738255033557047
1956,Summer,GER,261,0.05823068309070549,0.029801324503311258,0.06825938566552901,0.07718120805369127
1956,Summer,GRE,16,0.0011198208286674132,0.0,0.0,0.003355704697986577
1956,Summer,GUY,6,0.0,0.0,0.0,0.0
1956,Summer,HKG,4,0.0,0.0,0.0,0.0
1956,Summer,HUN,197,0.07166853303471445,0.09933774834437085,0.06825938566552901,0.04697986577181208
1956,Summer,INA,24,0.0,0.0,0.0,0.0
1956,Summer,IND,79,0.019036954087346025,0.056291390728476824,0.0,0.0
1956,Summer,IRI,17,0.005599104143337066,0.006622516556291391,0.006825938566552901,0.003355704697986577
1956,Summer,IRL,25,0.005599104143337066,0.0033112582781456954,0.0034129692832764505,0.010067114093959731
1956,Summer,ISL,2,0.0011198208286674132,0.0,0.0034129692832764505,0.0
1956,Summer,ISR,3,0.0,0.0,0.0,0.0
1956,Summer,ITA,207,0.05263157894736842,0.08609271523178808,0.03754266211604096,0.03355704697986577
1956,Summer,JAM,13,0.0,0.0,0.0,0.0
1956,Summer,JPN,222,0.026875699888017916,0.013245033112582781,0.051194539249146756,0.016778523489932886
1956,Summer,KEN,31,0.0,0.0,0.0,0.0
1956,Summer,KOR,36,0.0022396416573348264,0.0,0.0034129692832764505,0.003355704697986577
1956,Summer,LBR,11,0.0,0.0,0.0,0.0
1956,Summer,LUX,27,0.0,0.0,0.0,0.0
1956,Summer,MAL,34,0.0,0.0,0.0,0.0
1956,Summer,MEX,36,0.0022396416573348264,0.0033112582781456954,0.0,0.003355704697986577
1956,Summer,MYA,12,0.0,0.0,0.0,0.0
1956,Summer,NBO,2,0.0,0.0,0.0,0.0
1956,Summer,NED,1,0.0,0.0,0.0,0.0
1956,Summer,NGR,14,0.0,0.0,0.0,0.0
1956,Summer,NOR,29,0.0033594624860022394,0.0033112582781456954,0.0,0.006711409395973154
1956,Summer,NZL,57,0.0033594624860022394,0.009933774834437087,0.0,0.0
1956,Summer,PAK,79,0.015677491601343786,0.0,0.04778156996587031,0.0
1956,Summer,PER,10,0.0,0.0,0.0,0.0
1956,Summer,PHI,48,0.0,0.0,0.0,0.0
1956,Summer,POL,118,0.02127659574468085,0.0033112582781456954,0.030716723549488054,0.030201342281879196
1956,Summer,POR,18,0.0,0.0,0.0,0.0
1956,Summer,PUR,14,0.0,0.0,0.0,0.0
1956,Summer,ROU,103,0.02127659574468085,0.019867549668874173,0.010238907849829351,0.03355704697986577
1956,Summer,RSA,90,0.007838745800671893,0.0,0.0,0.02348993288590604
1956,Summer,SGP,52,0.0,0.0,0.0,0.0
1956,Summer,SRI,3,0.0,0.0,0.0,0.0
1956,Summer,SUI,18,0.0033594624860022394,0.0,0.0,0.010067114093959731
1956,Summer,SWE,186,0.03807390817469205,0.046357615894039736,0.04778156996587031,0.020134228187919462
1956,Summer,TCH,161,0.007838745800671893,0.0033112582781456954,0.017064846416382253,0.003355704697986577
1956,Summer,THA,40,0.0,0.0,0.0,0.0
1956,Summer,TPE,23,0.0,0.0,0.0,0.0
1956,Summer,TTO,10,0.0,0.0,0.0,0.0
1956,Summer,TUR,28,0.007838745800671893,0.009933774834437087,0.006825938566552901,0.006711409395973154
1956,Summer,UGA,5,0.0,0.0,0.0,0.0
1956,Summer,URS,411,0.18924972004479285,0.2251655629139073,0.15699658703071673,0.18456375838926176
1956,Summer,URU,29,0.013437849944008958,0.0,0.0,0.040268456375838924
1956,Summer,USA,443,0.13773796192609183,0.20198675496688742,0.14334470989761092,0.06711409395973154
1956,Summer,VEN,38,0.0,0.0,0.0,0.0
1956,Summer,VNM,10,0.0,0.0,0.0,0.0
1956,Summer,YUG,37,0.025755879059350503,0.0,0.07849829351535836,0.0
1956,Winter,AUS,17,0.0,0.0,0.0,0.0
1956,Winter,AUT,87,0.08,0.09803921568627451,0.061224489795918366,0.08
1956,Winter,BEL,6,0.0,0.0,0.0,0.0
1956,Winter,BOL,2,0.0,0.0,0.0,0.0
1956,Winter,BUL,15,0.0,0.0,0.0,0.0
1956,Winter,CAN,52,0.13333333333333333,0.0,0.04081632653061224,0.36
1956,Winter,CHI,7,0.0,0.0,0.0,0.0
1956,Winter,ESP,18,0.0,0.0,0.0,0.0
1956,Winter,FIN,52,0.08,0.09803921568627451,0.12244897959183673,0.02
1956,Winter,FRA,52,0.0,0.0,0.0,0.0
1956,Winter,GBR,69,0.0,0.0,0.0,0.0
1956,Winter,GER,90,0.013333333333333334,0.0196078431372549,0.0,0.02
1956,Winter,GRE,6,0.0,0.0,0.0,0.0
1956,Winter,HUN,2,0.013333333333333334,0.0,0.0,0.04
1956,Winter,IRI,9,0.0,0.0,0.0,0.0
1956,Winter,ISL,14,0.0,0.0,0.0,0.0
1956,Winter,ITA,93,0.05333333333333334,0.0392156862745098,0.12244897959183673,0.0
1956,Winter,JPN,26,0.006666666666666667,0.0,0.02040816326530612,0.0
1956,Winter,KOR,10,0.0,0.0,0.0,0.0
1956,Winter,LIB,8,0.0,0.0,0.0,0.0
1956,Winter,LIE,14,0.0,0.0,0.0,0.0
1956,Winter,NED,16,0.0,0.0,0.0,0.0
1956,Winter,NOR,77,0.02666666666666667,0.0392156862745098,0.02040816326530612,0.02
1956,Winter,POL,74,0.006666666666666667,0.0,0.0,0.02
1956,Winter,ROU,35,0.0,0.0,0.0,0.0
1956,Winter,SUI,80,0.06666666666666667,0.11764705882352941,0.04081632653061224,0.04
1956,Winter,SWE,93,0.1,0.0392156862745098,0.08163265306122448,0.18
1956,Winter,TCH,64,0.0,0.0,0.0,0.0
1956,Winter,TUR,10,0.0,0.0,0.0,0.0
1956,Winter,URS,81,0.24666666666666667,0.5098039215686274,0.10204081632653061,0.12
1956,Winter,USA,92,0.17333333333333334,0.0392156862745098,0.3877551020408163,0.1
1956,Winter,YUG,36,0.0,0.0,0.0,0.0
1960,Summer,AFG,16,0.0,0.0,0.0,0.0
1960,Summer,AHO,5,0.0,0.0,0.0,0.0
1960,Summer,ARG,116,0.0043907793633369925,0.0,0.01020408163265306,0.003246753246753247
1960,Summer,AUS,280,0.050493962678375415,0.03559870550161812,0.08163265306122448,0.03571428571428571
1960,Summer,AUT,198,0.003293084522502744,0.003236245954692557,0.006802721088435374,0.0
1960,Summer,BAH,14,0.0,0.0,0.0,0.0
1960,Summer,BEL,150,0.0043907793633369925,0.0,0.006802721088435374,0.006493506493506494
1960,Summer,BER,9,0.0,0.0,0.0,0.0
1960,Summer,BRA,86,0.014270032930845226,0.0,0.0,0.04220779220779221
1960,Summer,BUL,183,0.007683863885839737,0.003236245954692557,0.01020408163265306,0.00974025974025974
1960,Summer,CAN,140,0.009879253567508232,0.0,0.030612244897959183,0.0
1960,Summer,CHI,9,0.0,0.0,0.0,0.0
1960,Summer,COL,23,0.0,0.0,0.0,0.0
1960,Summer,CUB,21,0.0,0.0,0.0,0.0
1960,Summer,DEN,109,0.025246981339187707,0.006472491909385114,0.05782312925170068,0.012987012987012988
